,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
9840,UTTAR PRADESH,MADHYA PRADESH,85.21297397420177,,,S M T W T F S,7
9841,UTTAR PRADESH,MAHARASHTRA,221.07579079001061,,,S M T W T F S,7
9842,UTTAR PRADESH,GOA,4.665179738926276,,,S M T W T F S,7
9843,UTTAR PRADESH,KARNATAKA,98.6115714021769,,,S M T W T F S,7
9844,UTTAR PRADESH,KERALA,64.43890011020943,,,S M T W T F S,7
9845,MADHYA PRADESH,MAHARASHTRA,197.08558229769764,,,S M T W T F S,7
9846,MADHYA PRADESH,GOA,4.158934192134308,,,S M T W T F S,7
9847,MADHYA PRADESH,KARNATAKA,87.91066132405845,,,S M T W T F S,7
9848,MADHYA PRADESH,KERALA,57.446263588883426,,,S M T W T F S,7
9849,MAHARASHTRA,GOA,30.494836401594274,,,S M T W T F S,7
9850,MAHARASHTRA,KARNATAKA,644.5933287675713,,,S M T W T F S,7
9851,MAHARASHTRA,KERALA,421.2171506197493,,,S M T W T F S,7
9852,GOA,KARNATAKA,32.434532149541205,,,S M T W T F S,7
9853,GOA,KERALA,21.194729458083895,,,S M T W T F S,7
9854,KARNATAKA,KERALA,1166.0383922836686,,,S M T W T F S,7
9855,MAHARASHTRA,GUJARAT,357.175808384967,,,S M T W T F S,7
9856,MAHARASHTRA,MADHYA PRADESH,298.1481476909352,,,S M T W T F S,7
9857,MAHARASHTRA,RAJASTHAN,270.821683631316,,,S M T W T F S,7
9858,MAHARASHTRA,UTTAR PRADESH,540.6647815132503,,,S M T W T F S,7
9859,MAHARASHTRA,BIHAR,259.18957877953153,,,S M T W T F S,7
9860,GUJARAT,MADHYA PRADESH,77.79765021857521,,,S M T W T F S,7
9861,GUJARAT,RAJASTHAN,70.66718602121084,,,S M T W T F S,7
9862,GUJARAT,UTTAR PRADESH,141.07902357747597,,,S M T W T F S,7
9863,GUJARAT,BIHAR,67.63194856770498,,,S M T W T F S,7
9864,MADHYA PRADESH,RAJASTHAN,95.09344541866847,,,S M T W T F S,7
9865,MADHYA PRADESH,UTTAR PRADESH,189.84328064594254,,,S M T W T F S,7
9866,MADHYA PRADESH,BIHAR,91.0090718448994,,,S M T W T F S,7
9867,RAJASTHAN,UTTAR PRADESH,295.10957707864975,,,S M T W T F S,7
9868,RAJASTHAN,BIHAR,141.4727379925455,,,S M T W T F S,7
9869,UTTAR PRADESH,BIHAR,1166.6966628153186,,,S M T W T F S,7
9870,BIHAR,UTTAR PRADESH,416.54139375457265,,,S M T W T F S,7
9871,BIHAR,RAJASTHAN,208.64766009543317,,,S M T W T F S,7
9872,BIHAR,MADHYA PRADESH,229.70063749470003,,,S M T W T F S,7
9873,BIHAR,GUJARAT,275.17699344810046,,,S M T W T F S,7
9874,BIHAR,MAHARASHTRA,595.9333152071937,,,S M T W T F S,7
9875,UTTAR PRADESH,RAJASTHAN,66.37123672735076,,,S M T W T F S,7
9876,UTTAR PRADESH,MADHYA PRADESH,73.06823081845724,,,S M T W T F S,7
9877,UTTAR PRADESH,GUJARAT,87.53435032873527,,,S M T W T F S,7
9878,UTTAR PRADESH,MAHARASHTRA,189.56757588002935,,,S M T W T F S,7
9879,RAJASTHAN,MADHYA PRADESH,57.38679847272787,,,S M T W T F S,7
9880,RAJASTHAN,GUJARAT,68.74829273254262,,,S M T W T F S,7
9881,RAJASTHAN,MAHARASHTRA,148.88380561751342,,,S M T W T F S,7
9882,MADHYA PRADESH,GUJARAT,113.77038312452467,,,S M T W T F S,7
9883,MADHYA PRADESH,MAHARASHTRA,246.3852836613605,,,S M T W T F S,7
9884,GUJARAT,MAHARASHTRA,545.230019633903,,,S M T W T F S,7
9885,DELHI NCT,UTTAR PRADESH,548.57749843519,,,      W   F  ,2
9886,DELHI NCT,MADHYA PRADESH,302.5115942740029,,,      W   F  ,2
9887,DELHI NCT,MAHARASHTRA,784.8334215810771,,,      W   F  ,2
9888,DELHI NCT,KARNATAKA,350.07748570972996,,,      W   F  ,2
9889,UTTAR PRADESH,MADHYA PRADESH,115.45043538264895,,,      W   F  ,2
9890,UTTAR PRADESH,MAHARASHTRA,299.5235949281305,,,      W   F  ,2
9891,UTTAR PRADESH,KARNATAKA,133.6034681244106,,,      W   F  ,2
9892,MADHYA PRADESH,MAHARASHTRA,289.03640604658307,,,      W   F  ,2
9893,MADHYA PRADESH,KARNATAKA,128.92562361006878,,,      W   F  ,2
9894,MAHARASHTRA,KARNATAKA,1373.3934225557907,,,      W   F  ,2
9895,PUNJAB,CHANDIGARH,7.167301990921002,,,S M T W T F S,7
9896,PUNJAB,HARYANA,99.66217710152077,,,S M T W T F S,7
9897,PUNJAB,DELHI NCT,71.48206481870318,,,S M T W T F S,7
9898,PUNJAB,UTTAR PRADESH,396.1181686884063,,,S M T W T F S,7
9899,PUNJAB,RAJASTHAN,198.4175648742875,,,S M T W T F S,7
9900,PUNJAB,MADHYA PRADESH,218.4383046563934,,,S M T W T F S,7
9901,PUNJAB,MAHARASHTRA,566.7144178697679,,,S M T W T F S,7
9902,CHANDIGARH,HARYANA,0.46059702073361214,,,S M T W T F S,7
9903,CHANDIGARH,DELHI NCT,0.3303602936331924,,,S M T W T F S,7
9904,CHANDIGARH,UTTAR PRADESH,1.8306929836630097,,,S M T W T F S,7
9905,CHANDIGARH,RAJASTHAN,0.9170032393454556,,,S M T W T F S,7
9906,CHANDIGARH,MADHYA PRADESH,1.009530749427113,,,S M T W T F S,7
9907,CHANDIGARH,MAHARASHTRA,2.61911770411862,,,S M T W T F S,7
9908,HARYANA,DELHI NCT,4.931868809710527,,,S M T W T F S,7
9909,HARYANA,UTTAR PRADESH,27.329972155516792,,,S M T W T F S,7
9910,HARYANA,RAJASTHAN,13.689719260126525,,,S M T W T F S,7
9911,HARYANA,MADHYA PRADESH,15.071040047783232,,,S M T W T F S,7
9912,HARYANA,MAHARASHTRA,39.1001738491173,,,S M T W T F S,7
9913,DELHI NCT,UTTAR PRADESH,22.033821498995128,,,S M T W T F S,7
9914,DELHI NCT,RAJASTHAN,11.036851001258539,,,S M T W T F S,7
9915,DELHI NCT,MADHYA PRADESH,12.150491933451567,,,S M T W T F S,7
9916,DELHI NCT,MAHARASHTRA,31.523129488341663,,,S M T W T F S,7
9917,UTTAR PRADESH,RAJASTHAN,90.23726005584015,,,S M T W T F S,7
9918,UTTAR PRADESH,MADHYA PRADESH,99.34238491397872,,,S M T W T F S,7
9919,UTTAR PRADESH,MAHARASHTRA,257.73301035676235,,,S M T W T F S,7
9920,RAJASTHAN,MADHYA PRADESH,87.44134400829101,,,S M T W T F S,7
9921,RAJASTHAN,MAHARASHTRA,226.8570544225672,,,S M T W T F S,7
9922,MADHYA PRADESH,MAHARASHTRA,433.453096309325,,,S M T W T F S,7
9923,DELHI NCT,UTTAR PRADESH,436.56754910004264,,,S M T W T F S,7
9924,DELHI NCT,MADHYA PRADESH,240.7440072975406,,,S M T W T F S,7
9925,DELHI NCT,MAHARASHTRA,624.5841367697487,,,S M T W T F S,7
9926,DELHI NCT,ANDHRA PRADESH,336.104306832668,,,S M T W T F S,7
9927,UTTAR PRADESH,MADHYA PRADESH,87.47975897245162,,,S M T W T F S,7
9928,UTTAR PRADESH,MAHARASHTRA,226.95671786797809,,,S M T W T F S,7
9929,UTTAR PRADESH,ANDHRA PRADESH,122.13107225961296,,,S M T W T F S,7
9930,MADHYA PRADESH,MAHARASHTRA,213.39213465952756,,,S M T W T F S,7
9931,MADHYA PRADESH,ANDHRA PRADESH,114.83163161046465,,,S M T W T F S,7
